id,source,group,group_en,group_ru,group_he,equipment,name_en,name_ru,name_he,movement_type,category,has_image,has_technique
mm_atlas_stones_28,mm,legs,Legs,Ноги,רגליים,other,Atlas Stones,Атласные Камни,אבני אטלס,compound,strongman,yes,yes
mm_axle_deadlift_29,mm,back,Back,Спина,גב,other,Axle Deadlift,Тяга оси,משיכת ציר,compound,strongman,yes,yes
mm_back_flyes_with_bands_30,mm,back,Back,Спина,גב,bands,Back Flyes - With Bands,Разводка с резиновыми лентами,פלייס לאחור עם רצועות,isolation,strength,yes,yes
mm_backward_drag_31,mm,legs,Legs,Ноги,רגליים,other,Backward Drag,Тяга назад,משיכה לאחור,compound,strongman,yes,yes
mm_backward_medicine_ball_throw_32,mm,fullbody,Full Body,Всё тело,כל הגוף,medicine_ball,Backward Medicine Ball Throw,Медицинский мяч назад,הדיפת כדור רפואי לאחור,compound,plyometrics,yes,yes
mm_balance_board_33,mm,calisthenics,Calisthenics,Калистеника,משקל גוף,other,Balance Board,Доска для равновесия,לוח שיווי משקל,isolation,strength,yes,yes
mm_ball_leg_curl_34,mm,legs,Legs,Ноги,רגליים,exercise_ball,Ball Leg Curl,Сгибание ног с мячом,כיפוף רגליים עם כדור,isolation,strength,yes,yes
mm_band_assisted_pull_up_35,mm,back,Back,Спина,גב,other,Band Assisted Pull-Up,Подтягивания с эспандером,משיכת מקל בעזרת רצועה,compound,strength,yes,yes
mm_band_good_morning_36,mm,legs,Legs,Ноги,רגליים,bands,Band Good Morning,Сгибание со штангой за спиной с эспандером,גומיה טובה בבוקר,compound,powerlifting,yes,yes
mm_band_good_morning_pull_through_37,mm,legs,Legs,Ноги,רגליים,bands,Band Good Morning (Pull Through),Сгибание со штангой за спиной с эспандером (проводкой),גומיה טובה בבוקר (דרך משיכה),compound,powerlifting,yes,yes
mm_band_hip_adductions_38,mm,legs,Legs,Ноги,רגליים,bands,Band Hip Adductions,Приведение бедра с эспандером,משיכת הירך פנימה עם רצועה,isolation,strength,yes,yes
mm_band_pull_apart_39,mm,shoulders,Shoulders,Плечи,כתפיים,bands,Band Pull Apart,Разводка рук с эспандером,משיכת הידיים לצדדים עם רצועה,isolation,strength,yes,yes
mm_band_skull_crusher_40,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,bands,Band Skull Crusher,Французский жим с эспандером,סקול קראשר עם רצועה,isolation,strength,yes,yes
mm_barbell_ab_rollout_41,mm,abdominals,Abdominals,Пресс,בטן,barbell,Barbell Ab Rollout,Выкатывания на пресс со штангой,גלישת חזה עם משקולת,compound,strength,yes,yes
mm_barbell_ab_rollout_on_knees_42,mm,abdominals,Abdominals,Пресс,בטן,barbell,Barbell Ab Rollout - On Knees,Выкатывания на пресс со штангой - на коленях,גלישת חזה עם משקולת - על הברכיים,compound,strength,yes,yes
mm_barbell_bench_press_medium_grip_43,mm,chest,Chest,Грудь,חזה,barbell,Barbell Bench Press - Medium Grip,Жим штанги лежа - средний хват,לחישת משקולות בשכיבה - אחיזה בינונית,compound,strength,yes,yes
mm_barbell_curl_44,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,barbell,Barbell Curl,Сгибание рук со штангой на бицепс,כפיפת ברזל לשריר הזרוע (בייספ),isolation,strength,yes,yes
mm_barbell_curls_lying_against_an_incline_45,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,barbell,Barbell Curls Lying Against An Incline,Сгибание рук со штангой на бицепс лежа на наклонной скамье,כפיפת ברזל לשריר הזרוע כששוכב על ספה משופעת,isolation,strength,yes,yes
mm_barbell_deadlift_46,mm,back,Back,Спина,גב,barbell,Barbell Deadlift,Становая тяга со штангой,מתיחת חזה עם משקולת,compound,strength,yes,yes
mm_barbell_full_squat_47,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Full Squat,Приседания со штангой на спине,סקוואט עם מוט אולימפי,compound,strength,yes,yes
mm_barbell_glute_bridge_48,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Glute Bridge,Ягодичный мостик со штангой,גלגל עם משקולת,isolation,powerlifting,yes,yes
mm_barbell_guillotine_bench_press_49,mm,chest,Chest,Грудь,חזה,barbell,Barbell Guillotine Bench Press,"Жим лежа со штангой ""Гильотина""","פרס חזה עם מוט ""גיליוטינה""",compound,strength,yes,yes
mm_barbell_hack_squat_50,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Hack Squat,Приседания с гантелью сзади,סקוואט עם משקולת מאחור,compound,strength,yes,yes
mm_barbell_hip_thrust_51,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Hip Thrust,Толчок бёдер со штангой,דחיפת מתניים עם מוט,isolation,powerlifting,yes,yes
mm_barbell_incline_bench_press_medium_grip_52,mm,chest,Chest,Грудь,חזה,barbell,Barbell Incline Bench Press - Medium Grip,Жим штанги на наклонной скамье - средний хват,לחיצת מוט על ספה מוטה - אחיזה בינונית,compound,strength,yes,yes
mm_barbell_incline_shoulder_raise_53,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Barbell Incline Shoulder Raise,Подъём плеч со штангой на наклонной скамье,הרמת כתפיים מוט על מדרגות משופעות,isolation,strength,yes,yes
mm_barbell_lunge_54,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Lunge,Выпады со штангой,סקווט לאנג עם מוט,compound,strength,yes,yes
mm_barbell_rear_delt_row_55,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Barbell Rear Delt Row,Тяга штанги к поясу в наклоне,שור עם מוט לגב,compound,strength,yes,yes
mm_barbell_rollout_from_bench_56,mm,abdominals,Abdominals,Пресс,בטן,barbell,Barbell Rollout from Bench,Выкатывание со штангой со скамьи,התגלגלות מקלבט עם משקולת,compound,strength,yes,yes
mm_barbell_seated_calf_raise_57,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Seated Calf Raise,Подъем икр сидя со штангой,הרמת סולם ישיבה עם משקולת,isolation,strength,yes,yes
mm_barbell_shoulder_press_58,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Barbell Shoulder Press,Жим штанги стоя,לחיצת כתף עם משקולת,compound,strength,yes,yes
mm_barbell_shrug_59,mm,back,Back,Спина,גב,barbell,Barbell Shrug,Подъем штанги на плечи,משיכת מוט לכתפיים,isolation,strength,yes,yes
mm_barbell_shrug_behind_the_back_60,mm,back,Back,Спина,גב,barbell,Barbell Shrug Behind The Back,Подъем штанги на плечи сзади,משיכת מוט לכתפיים מאחור,isolation,strength,yes,yes
mm_barbell_side_bend_61,mm,abdominals,Abdominals,Пресс,בטן,barbell,Barbell Side Bend,Наклоны со штангой в стороны,כיפוף צד עם מוט,isolation,strength,yes,yes
mm_barbell_side_split_squat_62,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Side Split Squat,Пistol squat с гирей,סקוואט אקסטנסיבי עם משקולת,compound,strength,yes,yes
mm_barbell_squat_63,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Squat,Приседания со штангой,סקוואט עם מוט,compound,strength,yes,yes
mm_barbell_squat_to_a_bench_64,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Squat To A Bench,Приседания со штангой на скамью,סקוואט עם מוט על ספסל,compound,strength,yes,yes
mm_barbell_step_ups_65,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Step Ups,Подъёмы на скамью со штангой,עליות עם מוט משקולות על ספה,compound,strength,yes,yes
mm_barbell_walking_lunge_66,mm,legs,Legs,Ноги,רגליים,barbell,Barbell Walking Lunge,Выпады со штангой в ходьбе,פעימות עם מוט משקולות,compound,strength,yes,yes
mm_battling_ropes_67,mm,shoulders,Shoulders,Плечи,כתפיים,other,Battling Ropes,Боевые канаты,חבלי קרב,compound,strength,yes,yes
mm_bear_crawl_sled_drags_68,mm,fullbody,Full Body,Всё тело,כל הגוף,other,Bear Crawl Sled Drags,Тяга саней в ползании медведя,משיכת מזחלות זחילת דוב,compound,strongman,yes,yes
mm_behind_head_chest_stretch_69,mm,stretching,Stretching,Растяжка,מתיחות,other,Behind Head Chest Stretch,Растяжка груди за головой,מתיחת חזה מאחורי הראש,isolation,stretching,yes,yes
mm_bench_dips_70,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,bodyweight,Bench Dips,Отжимания на скамье,שכיבות על מקלדת,compound,strength,yes,yes
mm_bench_jump_71,mm,legs,Legs,Ноги,רגליים,bodyweight,Bench Jump,Прыжки на скамью,קפיצה על הספסל,compound,plyometrics,yes,yes
mm_bench_press_powerlifting_72,mm,chest,Chest,Грудь,חזה,barbell,Bench Press - Powerlifting,Жим лежа - пауэрлифтинг,סקווט לשכיבה - פאוארליפטינג,compound,powerlifting,yes,yes
mm_bench_press_with_bands_73,mm,chest,Chest,Грудь,חזה,bands,Bench Press - With Bands,Жим лежа с эспандерами,סקווט לשכיבה עם רצועות,compound,strength,yes,yes
mm_bench_press_with_chains_74,mm,chest,Chest,Грудь,חזה,barbell,Bench Press with Chains,Жим лежа с цепями,סקווט עם שרשראות,compound,powerlifting,yes,yes
mm_bench_sprint_75,mm,legs,Legs,Ноги,רגליים,other,Bench Sprint,Спринт на скамье,ריצת ספרינט על הספסל,compound,plyometrics,yes,yes
mm_bent_arm_barbell_pullover_76,mm,back,Back,Спина,גב,barbell,Bent-Arm Barbell Pullover,Тяга штанги лежа согнув руки,משיכת מוט שכיבה עם זרועות כפופות,compound,strength,yes,yes
mm_bent_arm_dumbbell_pullover_77,mm,back,Back,Спина,גב,dumbbells,Bent-Arm Dumbbell Pullover,Сгибание рук с гантелями над головой,משיכת משקולות מעל הראש עם זרועות מקופלות,compound,strength,yes,yes
mm_bent_knee_hip_raise_78,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Bent-Knee Hip Raise,Поднятие таза согнув колени,הרמת מפשעה עם ברכים כפופות,isolation,strength,yes,yes
mm_bent_over_barbell_row_79,mm,back,Back,Спина,גב,barbell,Bent Over Barbell Row,Тяга штанги в наклоне,משיכת מוט מקביל בכיפוף גוף,compound,strength,yes,yes
mm_bent_over_dumbbell_rear_delt_raise_with_head_on_be_80,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,Bent Over Dumbbell Rear Delt Raise With Head On Bench,Подъём гантелей в наклоне для задних дельт с упором головой на скамью,הרמת משקולות מהטייה לאחורי הכתף עם ראש על הספה,isolation,strength,yes,yes
mm_bent_over_low_pulley_side_lateral_81,mm,shoulders,Shoulders,Плечи,כתפיים,cable,Bent Over Low-Pulley Side Lateral,Мах гири в наклоне в стороны с нижнего блока,הרמת צד מהטייה עם כבל תחתון,isolation,strength,yes,yes
mm_bent_over_one_arm_long_bar_row_82,mm,back,Back,Спина,גב,barbell,Bent Over One-Arm Long Bar Row,Тяга длинного грифа в наклоне одной рукой,משיכת מוט ארוך מהטייה ביד אחת,compound,strength,yes,yes
mm_bent_over_two_arm_long_bar_row_83,mm,back,Back,Спина,גב,barbell,Bent Over Two-Arm Long Bar Row,Тяга штанги в наклоне двумя руками,משיכת מוט ארוך בכיפוף גב שתי ידיים,compound,strength,yes,yes
mm_bent_over_two_dumbbell_row_84,mm,back,Back,Спина,גב,dumbbells,Bent Over Two-Dumbbell Row,Тяга гантелей в наклоне двумя руками,משיכת משקולות בכיפוף גב שתי ידיים,compound,strength,yes,yes
mm_bent_over_two_dumbbell_row_with_palms_in_85,mm,back,Back,Спина,גב,dumbbells,Bent Over Two-Dumbbell Row With Palms In,Тяга гантелей в наклоне двумя руками ладонями внутрь,משיכת משקולות בכיפוף גב שתי ידיים כפות פנימה,compound,strength,yes,yes
mm_bent_press_86,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,Bent Press,Наклонный жим,טביעת דחיפה,compound,strength,yes,yes
mm_bicycling_87,mm,legs,Legs,Ноги,רגליים,other,Bicycling,Велоспорт,רכיבה על אופניים,compound,cardio,yes,yes
mm_bicycling_stationary_88,mm,legs,Legs,Ноги,רגליים,machine,"Bicycling, Stationary",Велотренажёр,רכיבה על אופניים נייחים,compound,cardio,yes,yes
mm_board_press_89,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,barbell,Board Press,Жим на доске,פרס על הלוח,compound,powerlifting,yes,yes
mm_body_up_90,mm,chest,Chest,Грудь,חזה,bodyweight,Body-Up,Подтягивание с переворотом,מתח עם סיבוב,compound,strength,yes,yes
mm_body_tricep_press_91,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,bodyweight,Body Tricep Press,Жим трицепса лежа,פרס טריצפס שכיבה,isolation,strength,yes,yes
mm_bodyweight_flyes_92,mm,chest,Chest,Грудь,חזה,ez_bar,Bodyweight Flyes,Отжимания в разведении рук,פלייזים במשקל גוף,isolation,strength,yes,yes
mm_bodyweight_mid_row_93,mm,back,Back,Спина,גב,other,Bodyweight Mid Row,Тяга в наклоне с весом тела,שור תיכוני במשקל גוף,compound,strength,yes,yes
mm_bodyweight_squat_94,mm,legs,Legs,Ноги,רגליים,bodyweight,Bodyweight Squat,Приседания с весом тела,סקווט במשקל גוף,compound,strength,yes,yes
mm_bodyweight_walking_lunge_95,mm,legs,Legs,Ноги,רגליים,other,Bodyweight Walking Lunge,Выпады с ходьбой на собственном весе,צעדי לונג עם משקל גוף,compound,strength,yes,yes
mm_bosu_ball_cable_crunch_with_side_bends_96,mm,abdominals,Abdominals,Пресс,בטן,cable,Bosu Ball Cable Crunch With Side Bends,Скручивания на Bosu с тросом с боковыми наклонами,קראנצ' עם כבל על כדור Bosu עם כיפופים צדדיים,isolation,strength,yes,yes
mm_bottoms_up_clean_from_the_hang_position_97,mm,legs,Legs,Ноги,רגליים,kettlebells,Bottoms-Up Clean From The Hang Position,Тяга «снизу-вверх» из положения «вис»,קלינג מההנפשה מהתחתים עם אחיזה מלמעלה,compound,strength,yes,yes
mm_bottoms_up_98,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Bottoms Up,Подъём ягодиц,הרמת ישבן,isolation,strength,yes,yes
mm_box_jump_multiple_response_99,mm,legs,Legs,Ноги,רגליים,other,Box Jump (Multiple Response),Прыжки на ящик (множественный выбор),קפיצות על קופסה (תשובה מרובה),compound,plyometrics,yes,yes
mm_box_skip_100,mm,legs,Legs,Ноги,רגליים,other,Box Skip,Прыжки через ящик,דילוג מעל קופסה,compound,plyometrics,yes,yes
mm_box_squat_101,mm,legs,Legs,Ноги,רגליים,barbell,Box Squat,Приседания на ящик,סקוואט עם קופסה,compound,powerlifting,yes,yes
mm_box_squat_with_bands_102,mm,legs,Legs,Ноги,רגליים,barbell,Box Squat with Bands,Приседания на ящик с эластичными лентами,סקוואט עם קופסה ופסים אלסטיים,compound,powerlifting,yes,yes
mm_box_squat_with_chains_103,mm,legs,Legs,Ноги,רגליים,barbell,Box Squat with Chains,Приседания на ящик с цепями,סקוואט עם קופסה ושרשראות,compound,strength,yes,yes
mm_brachialis_smr_104,mm,forearms,Forearms,Предплечья,אמות,foam_roll,Brachialis-SMR,Брахиалис-СМР,ברכיאליס-SMR,isolation,stretching,yes,yes
mm_bradfordrocky_presses_105,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Bradford/Rocky Presses,Брэдфорд/Рокки Прессы,ברדפורד/רוקי פרסים,compound,strength,yes,yes
mm_butt_ups_106,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Butt-Ups,Подъемы на ягодицы,עליות עם הירכיים,isolation,strength,yes,yes
mm_butt_lift_bridge_107,mm,legs,Legs,Ноги,רגליים,bodyweight,Butt Lift (Bridge),Ягодичный мостик,גשר לשוקיים,isolation,strength,yes,yes
mm_butterfly_108,mm,chest,Chest,Грудь,חזה,machine,Butterfly,Бабочка,פרפר,isolation,strength,yes,yes
mm_cable_chest_press_109,mm,chest,Chest,Грудь,חזה,cable,Cable Chest Press,Грудной жим на тросе,לחיצת חזה בכבל,compound,strength,yes,yes
mm_cable_crossover_110,mm,chest,Chest,Грудь,חזה,cable,Cable Crossover,Перекрещивание канатов,מתיחת כבלים צולבת,isolation,strength,yes,yes
mm_cable_crunch_111,mm,abdominals,Abdominals,Пресс,בטן,cable,Cable Crunch,Скручивание с канатной тягой,כפיפות בטן עם כבל,isolation,strength,yes,yes
mm_cable_deadlifts_112,mm,legs,Legs,Ноги,רגליים,cable,Cable Deadlifts,Тяга канатов в наклоне,מתל רומני עם כבל,compound,strength,yes,yes
mm_cable_hammer_curls_rope_attachment_113,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,cable,Cable Hammer Curls - Rope Attachment,Сгибания рук на бицепс с канатной рукоятью,כפיפות זרועות עם משיכה למטה בחבל,isolation,strength,yes,yes
mm_cable_hip_adduction_114,mm,legs,Legs,Ноги,רגליים,cable,Cable Hip Adduction,Приведение бедра в тренажере с тросом,קירוב ירך במכונת כבלים,isolation,strength,yes,yes
mm_cable_incline_pushdown_115,mm,triceps,Triceps,Трицепс,יד אחורית,cable,Cable Incline Pushdown,Отжимания вниз наклонно с канатной рукоятью,דחיפות למטה בשיפוע עם חבל,isolation,strength,yes,yes
mm_cable_incline_triceps_extension_116,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,cable,Cable Incline Triceps Extension,Тяга на блоке к груди на наклонной скамье,משיכת כבל לחזה על ספה משופעת,isolation,strength,yes,yes
mm_cable_internal_rotation_117,mm,shoulders,Shoulders,Плечи,כתפיים,cable,Cable Internal Rotation,Внутренняя ротация на тросе,סיבוב פנימי בכבל,isolation,strength,yes,yes
mm_cable_iron_cross_118,mm,chest,Chest,Грудь,חזה,cable,Cable Iron Cross,"Тяга ""Железный Крест"" на тросе","משיכת ""צלב ברזל"" בכבל",isolation,strength,yes,yes
mm_cable_judo_flip_119,mm,abdominals,Abdominals,Пресс,בטן,cable,Cable Judo Flip,Кабельный переворот дзюдо,הפיכת ג'ודו בכבל,isolation,strength,yes,yes
mm_cable_lying_triceps_extension_120,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,cable,Cable Lying Triceps Extension,Кабельное разгибание трицепса лежа,הרחבת טריצפס בשכיבה בכבל,isolation,strength,yes,yes
mm_cable_one_arm_tricep_extension_121,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,cable,Cable One Arm Tricep Extension,Кабельное разгибание трицепса одной рукой,הרחבת טריצפס חד-זרועית בכבל,isolation,strength,yes,yes
mm_cable_preacher_curl_122,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,cable,Cable Preacher Curl,Сгибание рук на бицепс в блоке preacher,כיפוש זרועות עם מתקן preacher בכבל,isolation,strength,yes,yes
mm_cable_rear_delt_fly_123,mm,shoulders,Shoulders,Плечи,כתפיים,cable,Cable Rear Delt Fly,Разведение рук с гантелями в наклоне на задние дельты,פתיחת כתפיים אחורית בכבל,isolation,strength,yes,yes
mm_cable_reverse_crunch_124,mm,abdominals,Abdominals,Пресс,בטן,cable,Cable Reverse Crunch,Обратное скручивание на пресс в блоке,כפיפת בטן הפוכה בכבל,isolation,strength,yes,yes
mm_cable_rope_overhead_triceps_extension_125,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,cable,Cable Rope Overhead Triceps Extension,Тяга канатной рукояти на трицепс над головой,מתיחת חבל לטריצפס מעל הראש,isolation,strength,yes,yes
mm_cable_rope_rear_delt_rows_126,mm,back,Back,Спина,גב,cable,Cable Rope Rear-Delt Rows,Тяга канатной рукояти к задним дельтам,משיכת חבל לדלתא אחורית,isolation,strength,yes,yes
mm_cable_russian_twists_127,mm,abdominals,Abdominals,Пресс,בטן,cable,Cable Russian Twists,Русские скручивания с канатной рукоятью,סיבוב רוסי עם חבל,isolation,strength,yes,yes
mm_cable_seated_crunch_128,mm,abdominals,Abdominals,Пресс,בטן,cable,Cable Seated Crunch,Скручивания на тросе сидя,כפיפות בטן ישיבה עם כבל,isolation,strength,yes,yes
mm_cable_seated_lateral_raise_129,mm,shoulders,Shoulders,Плечи,כתפיים,cable,Cable Seated Lateral Raise,Подъём рук в стороны на тросе сидя,הרמת צד ישיבה עם כבל,isolation,strength,yes,yes
mm_cable_shoulder_press_130,mm,shoulders,Shoulders,Плечи,כתפיים,cable,Cable Shoulder Press,Жим плеч на тросе,לחיצת כתף עם כבל,compound,strength,yes,yes
mm_cable_shrugs_131,mm,back,Back,Спина,גב,cable,Cable Shrugs,Подъемы на плечи с тросом,כתפיים עם כבל,isolation,strength,yes,yes
mm_cable_wrist_curl_132,mm,forearms,Forearms,Предплечья,אמות ידיים,cable,Cable Wrist Curl,Сгибание запястий с тросом,כפיפת פרק כף היד עם כבל,isolation,strength,yes,yes
mm_calf_machine_shoulder_shrug_133,mm,back,Back,Спина,גב,machine,Calf-Machine Shoulder Shrug,Подъемы на плечи на тренажере для икр,כתפיים במכונת סוללות,isolation,strength,yes,yes
mm_calf_press_134,mm,legs,Legs,Ноги,רגליים,machine,Calf Press,Подъём на икры,הרמת סובכים,isolation,strength,yes,yes
mm_calf_press_on_the_leg_press_machine_135,mm,legs,Legs,Ноги,רגליים,machine,Calf Press On The Leg Press Machine,Подъём на икры в тренажёре для ног,הרמת סובכים במכונת כפיפת רגליים,isolation,strength,yes,yes
mm_calf_raise_on_a_dumbbell_136,mm,legs,Legs,Ноги,רגליים,dumbbells,Calf Raise On A Dumbbell,Подъём на икры с гантелью,הרמת סובכים עם משקולת,isolation,strength,yes,yes
mm_calf_raises_with_bands_137,mm,legs,Legs,Ноги,רגליים,bands,Calf Raises - With Bands,Подъёмы на икры с эспандером,הרמת בטן עם רצועות,isolation,strength,yes,yes
mm_calf_stretch_elbows_against_wall_138,mm,stretching,Stretching,Растяжка,מתיחות,other,Calf Stretch Elbows Against Wall,Растяжка икр - локтями на стене,מתיחת שרירי הסוף בעזרת המרפקים כנגד הקיר,isolation,stretching,yes,yes
mm_calf_stretch_hands_against_wall_139,mm,stretching,Stretching,Растяжка,מתיחות,other,Calf Stretch Hands Against Wall,Растяжка икр - руками на стене,מתיחת שרירי הסוף בעזרת הידיים כנגד הקיר,isolation,stretching,yes,yes
mm_calves_smr_140,mm,legs,Legs,Ноги,רגליים,foam_roll,Calves-SMR,Икроножные-СМР,שרירי השוק-SMR,isolation,stretching,yes,yes
mm_car_deadlift_141,mm,back,Back,Спина,גב,other,Car Deadlift,Тяга с автомобилем,משיכת מכונית,compound,strongman,yes,yes
